horizon,model,forecast_step,lead_minutes,MAE,RMSE,MAPE
24h,LightGBM,48,720,20.98579941293796,32.03100301209994,15.021388710032202
24h,LightGBM,49,735,20.376775074070522,31.120963551738914,14.658371302605955
24h,LightGBM,50,750,20.340618762116875,30.25394792992561,14.380093794501445
24h,LightGBM,51,765,20.01527384243244,29.850048591977167,14.053083409815951
24h,LightGBM,52,780,20.18554826794831,30.282282888154597,14.024966393583066
24h,LightGBM,53,795,19.653979185857885,29.118088903599638,13.407568741242363
24h,LightGBM,54,810,19.631687274597375,29.289516255103276,13.308518029810044
24h,LightGBM,55,825,19.524096346799016,29.000681003093497,13.20659702539419
24h,LightGBM,56,840,19.549045529994427,29.31657995138612,13.184867013389812
24h,LightGBM,57,855,19.555188893604818,29.191259146674458,13.25292069657486
24h,LightGBM,58,870,19.557908705932533,29.129878633842505,13.239567287383602
24h,LightGBM,59,885,19.376953121408242,28.760209381509224,13.054942907762337
24h,LightGBM,60,900,19.247243148586723,28.488449577980536,12.977346057281983
24h,LightGBM,61,915,19.431208240192266,28.86914303518093,13.085810887982916
24h,LightGBM,62,930,19.58618951928226,29.273256058802726,13.169907098567336
24h,LightGBM,63,945,19.177365375218155,28.427211293242163,12.866787830023686
24h,LightGBM,64,960,19.368656823267557,28.925117096547392,13.08402988055484
24h,LightGBM,65,975,19.089290288657743,28.28067227612409,12.779796389256012
24h,LightGBM,66,990,19.74139048674048,29.483869860092472,13.260506778386253
24h,LightGBM,67,1005,19.279911384762013,28.82513241806252,12.915793573462134
